type:0,pos:x:0,y:100,z:0,scale:x:1,y:1,z:1
type:0,pos:x:3,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:10,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:17,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:24,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:31,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:38,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:45,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:52,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:59,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:66,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:73,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:80,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:87,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:94,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:101,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:108,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:115,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:122,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:129,y:3,z:0,scale:x:7,y:7,z:7
type:0,pos:x:136,y:3,z:0,scale:x:7,y:7,z:7
